Disease,Description,Causes,Precautions,Severity
Acne,"A common inflammatory skin condition affecting hair follicles and oil glands, characterized by pimples, blackheads, whiteheads, and sometimes cysts or nodules. It most frequently occurs during puberty but can affect people of all ages. Acne typically appears on the face, forehead, chest, upper back, and shoulders. The condition can range from mild to severe and may cause scarring and emotional distress. Effective treatments are available, but it often requires a combination approach and persistence.","Hormonal changes during puberty, pregnancy, or menstrual cycles; Excess sebum (oil) production by sebaceous glands; Buildup of dead skin cells in pores; Bacterial infection (Cutibacterium acnes); Certain medications like corticosteroids or lithium; Genetic predisposition; Stress; Diet (though controversial, some studies link to dairy and high-glycemic foods); Cosmetics that clog pores","Cleanse skin gently twice daily with mild soap-free cleansers; Use non-comedogenic (won't clog pores) skincare products; Avoid squeezing or picking at pimples to prevent scarring; Apply topical treatments containing benzoyl peroxide, salicylic acid, or retinoids; For severe cases, consult dermatologist for prescription medications like antibiotics or isotretinoin; Manage stress through relaxation techniques; Consider dietary modifications if you notice specific triggers","Medium"

Actinic_Keratosis,"A pre-cancerous skin condition characterized by rough, scaly patches or lesions on sun-exposed areas, most commonly appearing on the face, lips, ears, forearms, scalp, neck, and back of hands. These lesions develop from years of sun exposure and are considered the earliest stage in the development of skin cancer. They range in color from skin-toned to reddish-brown and feel rough or sandpaper-like to the touch. Untreated actinic keratosis has a small but significant risk of progressing to squamous cell carcinoma.","Chronic exposure to ultraviolet (UV) radiation from sun or tanning beds; Cumulative sun damage over many years; Fair skin with light eyes and hair (higher susceptibility); Age (most common in people over 40); Living in sunny climates; Weakened immune system; History of frequent sunburns; Genetic predisposition to UV damage","Apply broad-spectrum sunscreen (SPF 30 or higher) daily, even on cloudy days; Wear protective clothing, wide-brimmed hats, and UV-blocking sunglasses; Avoid sun exposure during peak hours (10 AM to 4 PM); Perform monthly self-skin exams; Have annual skin cancer screenings with a dermatologist; Consider vitamin B3 (niacinamide) supplements which may help prevent new lesions; If diagnosed, follow dermatologist recommendations for cryotherapy, topical treatments, or other procedures","Medium"

Bullous,"A group of blistering skin disorders characterized by large, fluid-filled blisters (bullae) that appear on the skin and mucous membranes. These conditions can be serious, sometimes life-threatening, and require prompt medical attention. Bullous diseases include pemphigus vulgaris, bullous pemphigoid, and dermatitis herpetiformis. The blisters can rupture easily, leaving painful erosions that are prone to infection. These conditions often have autoimmune origins where the body attacks its own skin proteins.","Autoimmune disorders (most common cause); Infections (staphylococcal scalded skin syndrome, herpes); Genetic conditions (epidermolysis bullosa); Drug reactions; Underlying systemic diseases (diabetes, kidney failure, lupus); Chemical exposures or burns; Certain medications like furosemide or penicillins; Rare metabolic disorders","Avoid skin trauma and friction; Follow prescribed medical treatment regimen precisely; Maintain meticulous skin hygiene to prevent infection; Use sterile techniques when dressing blisters; Take immunosuppressant medications as directed; Have regular follow-ups with dermatologist or specialist; Join support groups for chronic blistering disorders; Keep affected areas clean and dry; Use protective padding on pressure areas","High"

Candidiasis,"A fungal infection caused by overgrowth of Candida species, particularly Candida albicans. It can affect various parts of the body including skin, mouth, throat, genitals, and nails. On skin, it typically appears as red, moist patches with satellite pustules or papules at the edges, most commonly occurring in skin folds (armpits, groin, under breasts). The condition thrives in warm, moist environments and can cause intense itching and discomfort. While usually not serious, it can be persistent and recurrent in some individuals.","Fungal overgrowth due to antibiotic use disrupting normal flora; Diabetes with elevated blood sugar levels; Immunosuppression from medications, HIV, or cancer treatments; Warm, humid environments; Obesity with skin folds; Poor hygiene; Tight, non-breathable clothing; Hormonal changes (pregnancy, birth control pills); Certain genetic conditions affecting immune function; Prolonged use of corticosteroids","Keep skin clean and dry, especially in folds; Use antifungal powders in moist areas; Wear loose, breathable cotton clothing; Control blood sugar levels if diabetic; Take probiotics when on antibiotics; Apply antifungal creams (clotrimazole, miconazole) as directed; Change out of wet clothing promptly; Maintain healthy weight to reduce skin folds; Avoid sharing personal items like towels; Consult doctor if infection recurs frequently","Medium"

DrugEruption,"Also known as drug rash or drug hypersensitivity reaction, this condition refers to various skin reactions caused by medications. Reactions range from mild rashes to severe, life-threatening conditions like Stevens-Johnson syndrome or toxic epidermal necrolysis. The timing varies from immediately after taking a drug to weeks later. Common presentations include hives, morbilliform rashes (measles-like), fixed drug eruptions, and photosensitivity reactions. Diagnosis requires careful medical history and sometimes skin testing.","Allergic reactions to medications; Non-allergic adverse drug reactions; Drug interactions; Genetic predisposition to certain drug reactions; Common culprits: antibiotics (especially penicillins and sulfonamides), anticonvulsants, NSAIDs, chemotherapy drugs, contrast dyes; Previous history of drug allergies; Underlying viral infections like EBV or HIV that increase susceptibility; Some herbal supplements or alternative medicines","Immediately stop suspected medication and consult doctor; Keep a detailed list of all drug allergies; Inform all healthcare providers about drug allergies; Wear medical alert bracelet for severe allergies; Avoid cross-reactive drugs if known allergic; Monitor new medications closely for first few weeks; Never self-medicate without professional advice; For mild reactions, antihistamines may help; For severe reactions, seek emergency medical care","Medium"

